dataproviderid,occurrenceid,measurementid,measurementtype,measurementvalue,measurementaccuracy,measurementunit,measurementdetermineddate,measurementdeterminedby,measurementmethod,measurementremarks
1076,OBSVLFR_HistoricalPointB_05_10RG-9373,28642,abundance,0.181175,,"Individual/m^3.  Number of Fishery by week: 3",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-9095,28641,abundance,0.181175,,"Individual/m^3.  Number of Fishery by week: 3",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-9868,27764,abundance,19.6756,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005ChroProt
1076,OBSVLFR_HistoricalPointB_05_10RG-10026,27663,abundance,0.108705,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005ChroProt
1076,OBSVLFR_HistoricalPointB_59_99RG-2537,14049,abundance,103,,Ind/60m3,,,,1959ThalMollCnid
1076,OBSVLFR_HistoricalPointB_59_99RG-1775,12392,abundance,0.1,,Ind/60m3,,,,1959ThalMollCnid
1076,OBSVLFR_HistoricalPointB_05_10RG-9836,27714,abundance,1.6034,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005ChroProt
1076,OBSVLFR_HistoricalPointB_59_99RG-2613,12477,abundance,0.2,,Ind/60m3,,,,1959ThalMollCnid
1076,OBSVLFR_HistoricalPointB_05_10RG-8029,29349,abundance,0.271762,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Chor
1076,OBSVLFR_HistoricalPointB_59_99RG-2061,12993,abundance,1.8,,Ind/60m3,,,,1959ThalMollCnid
1076,OBSVLFR_HistoricalPointB_59_99RG-723,12579,abundance,0.4,,Ind/60m3,,,,1959ThalMollCnid
1076,OBSVLFR_HistoricalPointB_05_10RG-8206,29211,abundance,0.0339703,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005Chor
1076,OBSVLFR_HistoricalPointB_05_10RG-9719,28831,abundance,1.35881,,"Individual/m^3.  Number of Fishery by week: 3",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_59_99RG-5766,14923,abundance,0.2,,Ind/60m3,,,,1959ThalMollCten
1076,OBSVLFR_HistoricalPointB_59_99RG-5806,14937,abundance,0.2,,Ind/60m3,,,,1959ThalMollCten
1076,OBSVLFR_HistoricalPointB_59_99RG-5870,14979,abundance,1,,Ind/60m3,,,,1959ThalMollCten
1076,OBSVLFR_HistoricalPointB_59_99RG-5973,15014,abundance,0.5,,Ind/60m3,,,,1959ThalMollCten
1076,OBSVLFR_HistoricalPointB_05_10RG-10006,27675,abundance,0.203822,,"Individual/m^3.  Number of Fishery by week: 4",,,,2005ChroProt
1076,OBSVLFR_HistoricalPointB_05_10RG-9569,28456,abundance,0.0271762,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-9437,28453,abundance,0.0271762,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_05_10RG-9861,27734,abundance,3.47856,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005ChroProt
1076,OBSVLFR_HistoricalPointB_05_10RG-9631,28510,abundance,0.0543524,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Larv
1075,OBSVLFR_HistoricalPointB_WPII-12168,26675,abundance,16.2133,,"Individual/m^3.  Number of Fishery by week: 2",,,,2004Chor
1075,OBSVLFR_HistoricalPointB_WPII-14088,25604,abundance,1.70667,,"Individual/m^3.  Number of Fishery by week: 8",,,,2004Larv
1075,OBSVLFR_HistoricalPointB_WPII-14513,25766,abundance,2.56,,"Individual/m^3.  Number of Fishery by week: 8",,,,2004Larv
1075,OBSVLFR_HistoricalPointB_WPII-14095,25608,abundance,1.70667,,"Individual/m^3.  Number of Fishery by week: 8",,,,2004Larv
1075,OBSVLFR_HistoricalPointB_WPII-2613,23296,abundance,7.96444,,"Individual/m^3.Number of Fishery by week: 6",,,,2004Arth
1075,OBSVLFR_HistoricalPointB_WPII-14569,25809,abundance,4.55111,,"Individual/m^3.  Number of Fishery by week: 6",,,,2004Larv
1075,OBSVLFR_HistoricalPointB_WPII-14143,25645,abundance,0.853333,,"Individual/m^3.  Number of Fishery by week: 8",,,,2004Larv
1075,OBSVLFR_HistoricalPointB_WPII-14553,25796,abundance,13.6533,,"Individual/m^3.  Number of Fishery by week: 10",,,,2004Larv
1075,OBSVLFR_HistoricalPointB_WPII-9912,25935,abundance,0.426667,,"Individual/m^3.  Number of Fishery by week: 8",,,,2004Moll
1075,OBSVLFR_HistoricalPointB_WPII-14574,25813,abundance,0.18963,,"Individual/m^3.  Number of Fishery by week: 9",,,,2004Larv
1075,OBSVLFR_HistoricalPointB_WPII-3716,22729,abundance,2.27556,,"Individual/m^3.Number of Fishery by week: 9",,,,2004Arth
1075,OBSVLFR_HistoricalPointB_WPII-14621,25839,abundance,1.70667,,"Individual/m^3.  Number of Fishery by week: 4",,,,2004Larv
1075,OBSVLFR_HistoricalPointB_WPII-14382,25747,abundance,1.13778,,"Individual/m^3.  Number of Fishery by week: 6",,,,2004Larv
1075,OBSVLFR_HistoricalPointB_WPII-14809,25869,abundance,1.36533,,"Individual/m^3.  Number of Fishery by week: 10",,,,2004Larv
1075,OBSVLFR_HistoricalPointB_WPII-14601,25823,abundance,0.426667,,"Individual/m^3.  Number of Fishery by week: 8",,,,2004Larv
1075,OBSVLFR_HistoricalPointB_WPII-14604,25826,abundance,5.68889,,"Individual/m^3.  Number of Fishery by week: 6",,,,2004Larv
1075,OBSVLFR_HistoricalPointB_WPII-14239,25708,abundance,1.21905,,"Individual/m^3.  Number of Fishery by week: 7",,,,2004Larv
1075,OBSVLFR_HistoricalPointB_WPII-14643,25841,abundance,0.853333,,"Individual/m^3.  Number of Fishery by week: 8",,,,2004Larv
1075,OBSVLFR_HistoricalPointB_WPII-14224,25695,abundance,1.42222,,"Individual/m^3.  Number of Fishery by week: 3",,,,2004Larv
1075,OBSVLFR_HistoricalPointB_WPII-14862,25878,abundance,1.51704,,"Individual/m^3.  Number of Fishery by week: 9",,,,2004Larv
1075,OBSVLFR_HistoricalPointB_WPII-14866,25881,abundance,0.975238,,"Individual/m^3.  Number of Fishery by week: 7",,,,2004Larv
1075,OBSVLFR_HistoricalPointB_WPII-14894,25886,abundance,1.70667,,"Individual/m^3.  Number of Fishery by week: 8",,,,2004Larv
1075,OBSVLFR_HistoricalPointB_WPII-14685,25850,abundance,3.03407,,"Individual/m^3.  Number of Fishery by week: 9",,,,2004Larv
1078,OBSVLFR_HistoricalPointB_JBRG-9658,18977,abundance,0.95,,"Abundance is a weekly average, expressed in individus/10m^3.",,,,1966HydrCten
1078,OBSVLFR_HistoricalPointB_JBRG-19629,21142,abundance,2.9,,"Abundance is a weekly average, expressed in individus/10m^3",,,,1966Siph
1076,OBSVLFR_HistoricalPointB_RG-601,19631,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-451,19538,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-751,19591,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-752,19592,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-602,19632,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
